# Sun May 02 15:08:50 GMT+02:00 2021
Value;Unit;Type;Overloaded
1.7431;V;DC;
1.7431;V;DC;
1.7431;V;DC;
1.7432;V;DC;
1.7432;V;DC;
1.7431;V;DC;
1.7431;V;DC;
1.7431;V;DC;
1.7431;V;DC;
1.7431;V;DC;
1.7431;V;DC;
1.7431;V;DC;
1.7431;V;DC;
1.7431;V;DC;
1.7431;V;DC;
1.7431;V;DC;
1.7431;V;DC;
1.7431;V;DC;
1.7431;V;DC;
1.7430;V;DC;
1.7430;V;DC;
1.7430;V;DC;
1.7430;V;DC;
1.7431;V;DC;
1.7431;V;DC;
1.7430;V;DC;
1.7430;V;DC;
1.7430;V;DC;
1.7430;V;DC;
1.7430;V;DC;
1.7430;V;DC;
1.7430;V;DC;
1.7430;V;DC;
1.7430;V;DC;
1.7430;V;DC;
1.7430;V;DC;
1.7430;V;DC;
1.7429;V;DC;
1.7430;V;DC;
1.7429;V;DC;
1.7429;V;DC;
1.7429;V;DC;
1.7430;V;DC;
1.7429;V;DC;
1.7429;V;DC;
1.7429;V;DC;
1.7429;V;DC;
1.7429;V;DC;
1.7429;V;DC;
1.7429;V;DC;
1.7429;V;DC;
1.7429;V;DC;
1.7429;V;DC;
1.7429;V;DC;
1.7429;V;DC;
1.7429;V;DC;
1.7429;V;DC;
1.7429;V;DC;
1.7429;V;DC;
1.7428;V;DC;
1.7428;V;DC;
1.7428;V;DC;
1.7428;V;DC;
1.7429;V;DC;
1.7429;V;DC;
1.7428;V;DC;
1.7428;V;DC;
1.7428;V;DC;
1.7428;V;DC;
1.7428;V;DC;
1.7428;V;DC;
1.7428;V;DC;
1.7428;V;DC;
1.7428;V;DC;
1.7428;V;DC;
1.7428;V;DC;
1.7428;V;DC;
1.7428;V;DC;
1.7428;V;DC;
1.7427;V;DC;
1.7427;V;DC;
1.7428;V;DC;
1.7428;V;DC;
1.7428;V;DC;
1.7428;V;DC;
1.7427;V;DC;
1.7427;V;DC;
1.7427;V;DC;
1.7427;V;DC;
1.7427;V;DC;
1.7427;V;DC;
1.7427;V;DC;
1.7427;V;DC;
1.7427;V;DC;
1.7427;V;DC;
1.7427;V;DC;
1.7427;V;DC;
1.7427;V;DC;
1.7427;V;DC;
1.7427;V;DC;
1.7427;V;DC;
1.7426;V;DC;
1.7426;V;DC;
1.7426;V;DC;
1.7426;V;DC;
1.7426;V;DC;
1.7426;V;DC;
1.7426;V;DC;
1.7426;V;DC;
1.7426;V;DC;
1.7426;V;DC;
1.7426;V;DC;
1.7426;V;DC;
1.7426;V;DC;
1.7426;V;DC;
1.7426;V;DC;
1.7426;V;DC;
1.7426;V;DC;
1.7426;V;DC;
1.7425;V;DC;
1.7425;V;DC;
1.7425;V;DC;
1.7425;V;DC;
1.7425;V;DC;
1.7425;V;DC;
1.7425;V;DC;
1.7425;V;DC;
1.7425;V;DC;
1.7425;V;DC;
1.7425;V;DC;
1.7425;V;DC;
1.7425;V;DC;
1.7425;V;DC;
1.7424;V;DC;
1.7424;V;DC;
1.7425;V;DC;
1.7425;V;DC;
1.7424;V;DC;
1.7424;V;DC;
1.7425;V;DC;
1.7425;V;DC;
1.7425;V;DC;
1.7425;V;DC;
1.7424;V;DC;
1.7424;V;DC;
1.7424;V;DC;
1.7424;V;DC;
1.7424;V;DC;
1.7424;V;DC;
1.7424;V;DC;
1.7424;V;DC;
1.7424;V;DC;
1.7424;V;DC;
1.7424;V;DC;
1.7424;V;DC;
1.7424;V;DC;
1.7424;V;DC;
1.7424;V;DC;
1.7424;V;DC;
1.7423;V;DC;
1.7423;V;DC;
1.7423;V;DC;
1.7423;V;DC;
1.7423;V;DC;
1.7423;V;DC;
1.7423;V;DC;
1.7423;V;DC;
1.7423;V;DC;
1.7423;V;DC;
1.7422;V;DC;
1.7422;V;DC;
1.7423;V;DC;
1.7423;V;DC;
1.7422;V;DC;
1.7422;V;DC;
1.7422;V;DC;
1.7422;V;DC;
1.7423;V;DC;
1.7423;V;DC;
1.7421;V;DC;
1.7421;V;DC;
1.7422;V;DC;
1.7422;V;DC;
1.7422;V;DC;
1.7422;V;DC;
1.7421;V;DC;
1.7421;V;DC;
1.7421;V;DC;
1.7421;V;DC;
1.7422;V;DC;
1.7422;V;DC;
1.7422;V;DC;
1.7422;V;DC;
1.7422;V;DC;
1.7422;V;DC;
1.7422;V;DC;
1.7422;V;DC;
1.7421;V;DC;
1.7421;V;DC;
1.7421;V;DC;
1.7421;V;DC;
1.7421;V;DC;
1.7421;V;DC;
1.7421;V;DC;
1.7421;V;DC;
1.7421;V;DC;
1.7421;V;DC;
1.7421;V;DC;
1.7421;V;DC;
1.7421;V;DC;
1.7421;V;DC;
1.7421;V;DC;
1.7421;V;DC;
1.7420;V;DC;
1.7420;V;DC;
1.7420;V;DC;
1.7420;V;DC;
1.7420;V;DC;
1.7420;V;DC;
1.7420;V;DC;
1.7420;V;DC;
1.7420;V;DC;
1.7420;V;DC;
1.7420;V;DC;
1.7420;V;DC;
1.7420;V;DC;
1.7420;V;DC;
1.7420;V;DC;
1.7420;V;DC;
1.7420;V;DC;
1.7420;V;DC;
1.7420;V;DC;
1.7420;V;DC;
1.7420;V;DC;
1.7420;V;DC;
1.7419;V;DC;
1.7419;V;DC;
1.7419;V;DC;
1.7420;V;DC;
1.7419;V;DC;
1.7419;V;DC;
1.7419;V;DC;
1.7419;V;DC;
1.7419;V;DC;
1.7419;V;DC;
1.7419;V;DC;
1.7419;V;DC;
1.7419;V;DC;
1.7419;V;DC;
1.7419;V;DC;
1.7419;V;DC;
1.7419;V;DC;
1.7419;V;DC;
1.7418;V;DC;
1.7418;V;DC;
1.7419;V;DC;
1.7419;V;DC;
1.7418;V;DC;
1.7418;V;DC;
1.7418;V;DC;
1.7418;V;DC;
1.7418;V;DC;
1.7418;V;DC;
1.7418;V;DC;
1.7418;V;DC;
1.7418;V;DC;
1.7418;V;DC;
1.7418;V;DC;
1.7418;V;DC;
1.7418;V;DC;
1.7418;V;DC;
1.7418;V;DC;
1.7418;V;DC;
1.7418;V;DC;
1.7418;V;DC;
1.7417;V;DC;
1.7417;V;DC;
1.7418;V;DC;
1.7418;V;DC;
1.7417;V;DC;
1.7417;V;DC;
1.7417;V;DC;
1.7417;V;DC;
1.7417;V;DC;
1.7417;V;DC;
1.7417;V;DC;
1.7417;V;DC;
1.7417;V;DC;
1.7417;V;DC;
1.7417;V;DC;
1.7417;V;DC;
1.7417;V;DC;
1.7417;V;DC;
1.7417;V;DC;
1.7417;V;DC;
1.7416;V;DC;
1.7416;V;DC;
1.7417;V;DC;
1.7417;V;DC;
1.7416;V;DC;
1.7416;V;DC;
1.7416;V;DC;
1.7416;V;DC;
1.7416;V;DC;
1.7416;V;DC;
1.7416;V;DC;
1.7416;V;DC;
1.7416;V;DC;
1.7416;V;DC;
1.7416;V;DC;
1.7416;V;DC;
1.7415;V;DC;
1.7415;V;DC;
1.7415;V;DC;
1.7415;V;DC;
1.7415;V;DC;
1.7415;V;DC;
1.7415;V;DC;
1.7415;V;DC;
1.7415;V;DC;
1.7415;V;DC;
1.7415;V;DC;
1.7415;V;DC;
1.7415;V;DC;
1.7415;V;DC;
1.7415;V;DC;
1.7415;V;DC;
1.7414;V;DC;
1.7414;V;DC;
1.7414;V;DC;
1.7414;V;DC;
1.7414;V;DC;
1.7414;V;DC;
1.7414;V;DC;
1.7414;V;DC;
1.7414;V;DC;
1.7414;V;DC;
1.7414;V;DC;
1.7414;V;DC;
1.7414;V;DC;
1.7414;V;DC;
1.7414;V;DC;
1.7414;V;DC;
1.7413;V;DC;
1.7413;V;DC;
1.7414;V;DC;
1.7414;V;DC;
1.7413;V;DC;
1.7413;V;DC;
1.7414;V;DC;
1.7414;V;DC;
1.7414;V;DC;
1.7414;V;DC;
1.7413;V;DC;
1.7413;V;DC;
1.7413;V;DC;
1.7413;V;DC;
1.7413;V;DC;
1.7413;V;DC;
1.7413;V;DC;
1.7413;V;DC;
1.7413;V;DC;
1.7413;V;DC;
1.7413;V;DC;
1.7413;V;DC;
1.7413;V;DC;
1.7413;V;DC;
1.7412;V;DC;
1.7412;V;DC;
1.7412;V;DC;
1.7412;V;DC;
1.7412;V;DC;
1.7412;V;DC;
1.7412;V;DC;
1.7412;V;DC;
1.7412;V;DC;
1.7412;V;DC;
1.7412;V;DC;
1.7412;V;DC;
1.7412;V;DC;
1.7412;V;DC;
1.7412;V;DC;
1.7412;V;DC;
1.7412;V;DC;
1.7412;V;DC;
1.7412;V;DC;
1.7412;V;DC;
1.7411;V;DC;
1.7411;V;DC;
1.7411;V;DC;
1.7411;V;DC;
1.7412;V;DC;
1.7412;V;DC;
1.7411;V;DC;
1.7411;V;DC;
1.7411;V;DC;
1.7411;V;DC;
1.7411;V;DC;
1.7411;V;DC;
1.7411;V;DC;
1.7411;V;DC;
1.7411;V;DC;
1.7411;V;DC;
1.7411;V;DC;
1.7411;V;DC;
1.7410;V;DC;
1.7410;V;DC;
1.7410;V;DC;
1.7410;V;DC;
1.7410;V;DC;
1.7410;V;DC;
1.7410;V;DC;
1.7410;V;DC;
1.7410;V;DC;
1.7410;V;DC;
1.7410;V;DC;
1.7410;V;DC;
1.7410;V;DC;
1.7410;V;DC;
1.7410;V;DC;
1.7410;V;DC;
1.7411;V;DC;
1.7411;V;DC;
1.7410;V;DC;
1.7409;V;DC;
1.7409;V;DC;
1.7409;V;DC;
1.7410;V;DC;
1.7409;V;DC;
1.7409;V;DC;
1.7409;V;DC;
1.7409;V;DC;
1.7409;V;DC;
1.7409;V;DC;
1.7409;V;DC;
1.7408;V;DC;
1.7408;V;DC;
1.7409;V;DC;
1.7409;V;DC;
1.7409;V;DC;
1.7409;V;DC;
1.7409;V;DC;
1.7409;V;DC;
1.7408;V;DC;
1.7408;V;DC;
1.7409;V;DC;
1.7409;V;DC;
1.7408;V;DC;
1.7408;V;DC;
1.7409;V;DC;
1.7409;V;DC;
1.7408;V;DC;
1.7408;V;DC;
1.7408;V;DC;
1.7408;V;DC;
1.7408;V;DC;
1.7408;V;DC;
1.7408;V;DC;
1.7408;V;DC;
1.7408;V;DC;
1.7408;V;DC;
1.7408;V;DC;
1.7408;V;DC;
1.7408;V;DC;
1.7408;V;DC;
1.7408;V;DC;
1.7408;V;DC;
1.7408;V;DC;
1.7408;V;DC;
1.7407;V;DC;
1.7407;V;DC;
1.7407;V;DC;
1.7407;V;DC;
1.7407;V;DC;
1.7407;V;DC;
1.7407;V;DC;
1.7407;V;DC;
1.7407;V;DC;
1.7407;V;DC;
1.7407;V;DC;
1.7407;V;DC;
1.7407;V;DC;
1.7407;V;DC;
1.7407;V;DC;
1.7407;V;DC;
1.7406;V;DC;
1.7406;V;DC;
1.7406;V;DC;
1.7406;V;DC;
1.7406;V;DC;
1.7406;V;DC;
1.7406;V;DC;
1.7406;V;DC;
1.7406;V;DC;
1.7406;V;DC;
1.7406;V;DC;
1.7406;V;DC;
1.7406;V;DC;
1.7406;V;DC;
1.7406;V;DC;
1.7406;V;DC;
1.7406;V;DC;
1.7406;V;DC;
1.7406;V;DC;
1.7406;V;DC;
1.7405;V;DC;
1.7405;V;DC;
1.7405;V;DC;
1.7405;V;DC;
1.7405;V;DC;
1.7405;V;DC;
1.7405;V;DC;
1.7405;V;DC;
1.7405;V;DC;
1.7405;V;DC;
1.7405;V;DC;
1.7405;V;DC;
1.7405;V;DC;
1.7405;V;DC;
1.7405;V;DC;
1.7405;V;DC;
1.7405;V;DC;
1.7405;V;DC;
1.7405;V;DC;
1.7405;V;DC;
1.7404;V;DC;
1.7404;V;DC;
1.7404;V;DC;
1.7404;V;DC;
1.7405;V;DC;
1.7405;V;DC;
1.7404;V;DC;
1.7404;V;DC;
1.7404;V;DC;
1.7404;V;DC;
1.7404;V;DC;
1.7404;V;DC;
1.7404;V;DC;
1.7404;V;DC;
1.7404;V;DC;
1.7404;V;DC;
1.7404;V;DC;
1.7404;V;DC;
1.7404;V;DC;
1.7404;V;DC;
1.7404;V;DC;
1.7404;V;DC;
1.7403;V;DC;
1.7403;V;DC;
1.7403;V;DC;
1.7403;V;DC;
1.7403;V;DC;
1.7403;V;DC;
1.7403;V;DC;
1.7403;V;DC;
1.7403;V;DC;
1.7403;V;DC;
1.7403;V;DC;
1.7403;V;DC;
1.7402;V;DC;
1.7402;V;DC;
1.7402;V;DC;
1.7402;V;DC;
1.7402;V;DC;
1.7402;V;DC;
1.7402;V;DC;
1.7402;V;DC;
1.7402;V;DC;
1.7402;V;DC;
1.7402;V;DC;
1.7402;V;DC;
1.7402;V;DC;
1.7402;V;DC;
1.7402;V;DC;
1.7402;V;DC;
1.7402;V;DC;
1.7402;V;DC;
1.7402;V;DC;
1.7402;V;DC;
1.7402;V;DC;
1.7402;V;DC;
1.7402;V;DC;
1.7402;V;DC;
1.7401;V;DC;
1.7401;V;DC;
1.7401;V;DC;
1.7401;V;DC;
1.7401;V;DC;
1.7401;V;DC;
1.7401;V;DC;
1.7401;V;DC;
1.7401;V;DC;
1.7401;V;DC;
1.7401;V;DC;
1.7401;V;DC;
1.7401;V;DC;
1.7401;V;DC;
1.7401;V;DC;
1.7401;V;DC;
1.7401;V;DC;
1.7401;V;DC;
1.7400;V;DC;
1.7400;V;DC;
1.7400;V;DC;
1.7400;V;DC;
1.7400;V;DC;
1.7400;V;DC;
1.7400;V;DC;
1.7400;V;DC;
1.7400;V;DC;
1.7400;V;DC;
1.7400;V;DC;
1.7400;V;DC;
1.7400;V;DC;
1.7400;V;DC;
1.7400;V;DC;
1.7400;V;DC;
1.7400;V;DC;
1.7399;V;DC;
1.7400;V;DC;
1.7400;V;DC;
1.7399;V;DC;
1.7400;V;DC;
